text_id,annotation_id,plan,secret,avg_confidence,all_plan,all_secret,page_id,text
995,llm_996,"['the Truth Virus', nan, nan, 'the Truth Virus']","['the Truth Virus', 'the Truth Virus', 'the Truth Virus', 'the Truth Virus']",0.8,0,1,14,"CDC...the Truth Virus

Why Fact Checkers aren't Journalists

Join @DrDavidMartin"
1097,llm_1098,"['put in your head that the only way to be healthy was to be injected with some experimental medical thing', 'put in your head that the only way to be healthy was to be injected with some experimental medical thing', nan, 'put in your head that the only way to be healthy was to be injected with some experimental medical thing']","['captured', 'horsesh*t', 'experimental medical thing', 'trying to put in your head']",0.85,0,1,15,"💥 Joe Rogan & Theo Von ROAST the Vaccine Propaganda & Captured Public Health Agencies

""They were trying to put in your head that the only way to be healthy was to be injected with some experimental medical thing. And that's f*cking horsesh*t!""

https://rumble.com/v2sifl4--joe-rogan-and-theo-von-roast-the-vaccine-propaganda-and-captured-public-he.html

https://twitter.com/TheChiefNerd/status/1666164435507920897

@ChiefNerd"
1100,llm_1101,"[nan, 'SHOW THEM', 'SHOW THEM', 'SHOW THEM']","[""Sometimes you can't TELL the public the truth"", ""can't TELL the public the truth"", ""can't TELL the public the truth"", ""can't TELL the public the truth""]",0.7875,0,1,16,"Sometimes you can't TELL the public the truth.
YOU MUST SHOW THEM.
Q.

https://t.me/health_healing_detoxing/256795"
1132,llm_1133,"['KHAZARIAN PEDO SATANISTS HAVE BEEN THE WORST BASTARDS IN HUMAN HISTORY || THE SECRET HISTORY OF THE KHAZARIAN MAFIA — HOW ZIONISTS INFILTRATED THE WORLD', nan, 'THE SECRET HISTORY OF THE KHAZARIAN MAFIA', 'KHAZARIAN PEDO SATANISTS HAVE BEEN THE WORST BASTARDS IN HUMAN HISTORY']","['THE SECRET HISTORY', 'Khazarian Mafia', 'KHAZARIAN PEDO SATANISTS', 'THE SECRET HISTORY OF THE KHAZARIAN MAFIA']",0.85,0,1,17,"US and allies freeze over $58 billion in Russian assets

The US and its allies have blocked more than $58 billion worth of Russian assets over the past year, as well as ""heavily restricted sanctioned Russians from the international financial system,"" the US Treasury said, citing a statement by the REPO (Russian Elites, Proxies, and Oligarchs) task force.

REPO has frozen both private assets of sanctioned Russian nationals and those of the Bank of Russia and the Russian National Wealth Fund, as well as investigated and countered Russia's sanctions evasion, ""including attempts to hide or obfuscate assets, illicit cryptocurrency and money laundering schemes, illicit Russian defense procurement, and sanctioned Russians’ use of financial facilitators.""

The REPO task force includes US Treasury and Justice Secretaries, as well as participants from Australia, Canada, France, Germany, Italy, Japan, the UK and the European Commission. #RussianMarket Source
https://home.treasury.gov/news/press-releases/jy1329

NOTE:
⚠️ONCE A THIEF, ALWAYS A THIEF.
KHAZARIAN PEDO SATANISTS HAVE BEEN THE WORST BASTARDS IN HUMAN HISTORY

🔥 The Khazarian Mafia, the sons of Cain, the nest of the VIPER, the seed of the serpent
--->>>
https://rumble.com/v1ppavp-the-khazarian-mafia-the-sons-of-cain-the-nest-of-the-viper-the-seed-of-the-.html

🔥 THE SECRET HISTORY OF THE KHAZARIAN MAFIA — HOW ZIONISTS INFILTRATED THE WORLD
---->>>>>
https://rumble.com/v25m8hd--the-secret-story-of-the-khazarian-mafia-how-zionists-infiltrated-the-world.html

MEANWHILE THE NAZI TERRORISTS STARTED ANOTHER COLOR REVOLUTION

🔥Violent Georgia Protests Backed by Same Western Powers Involved in Kiev
--->>>
https://rumble.com/v2crxxc-violent-georgia-protests-backed-by-same-western-powers-involved-in-kiev.html

@deNAZIficationMilitaryQperationZ"
1160,llm_1161,"['know where the bodies are buried || know exactly what rugs to look under || know exactly what things to shut down', 'know where the bodies are buried', nan, 'know exactly what rugs to look under || know exactly what things to shut down']","['where the bodies are buried', 'rugs to look under', 'where the bodies are buried || rugs to look under || things to shut down', 'where the bodies are buried']",0.8,0,1,18,"General Flynn: “You’re looking at a guy who knows where the bodies are buried, metaphorically. I know exactly what rugs to look under. I know exactly what things to shut down…

Why do they still fear me?…

They fear me because they have zero control over me. And my control mechanism is based on what’s best for our country.” 🔥🇺🇸

Link to full interview here"
1183,llm_1184,"['DEEP STATE IS MAKING THEIR MOVE', nan, nan, 'DEEP STATE IS MAKING THEIR MOVE']","['DEEP STATE', 'making their move', 'DEEP STATE IS MAKING THEIR MOVE', 'DEEP STATE']",0.85,0,1,19,">>>>> DEEP STATE IS MAKING THEIR MOVE <<<<

Join: GhostEzra"
1185,llm_1186,"['mocking', nan, nan, nan]","['in plain sight', 'in plain sight', 'in plain sight', 'mocking in plain sight']",0.63,0,1,20,"They're mocking in plain sight.

Channel: @JFK_TV"
1309,llm_1310,"[nan, nan, nan, 'Plandemic Secrets']","['Plandemic Secrets', 'Plandemic Secrets', 'Plandemic Secrets', 'Plandemic Secrets']",0.6875,0,1,21,"Q'in people! 🤣

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥JOIN US FOR AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗Globalists & Plandemic Secrets Here: https://greatawakening.world"
1313,llm_1314,"['HAARP just magically comes out of nowhere', nan, nan, 'HAARP just magically comes out of nowhere']","['magically comes out of nowhere', 'magically comes out of nowhere', 'magically comes out of nowhere', 'magically comes out of nowhere']",0.64,0,1,22,"HAARP just magically comes out of nowhere.

Join: GhostEzra"
1428,llm_1429,"['a new beginning', nan, 'new beginning', 'a new beginning']","['Hidden agendas || secret meetings', 'hidden agendas || secret meetings', 'secret meetings', 'Hidden agendas || secret meetings']",0.85,0,1,23,"December holds more than just the end of the year. Hidden agendas, secret meetings, and whispers of a new beginning. Watch closely—this month is not what it seems.

Join: GhostEzra"
1683,llm_1684,"['Mossad > Blinkin > Epstein Connection', 'Connection', nan, 'Mossad > Blinkin > Epstein Connection']","['Connection', 'Connection', 'Connection', 'Connection']",0.85,0,1,24,"Mossad > Blinkin > Epstein Connection

Channel: @JFK_TV"
1703,llm_1704,"['working for the small group of people who actually run the world', 'They are working for the small group of people who actually run the world', nan, 'working for the small group of people who actually run the world']","['working for the small group of people who actually run the world', ""They're job is not to inform you"", 'working for the small group of people who actually run the world', 'Control Apparatus']",0.85,0,1,25,"🔥 Tucker Carlson Says He Regrets Working for the Media ‘Control Apparatus’

“They’re job is not to inform you. They are working for the small group of people who actually run the world.”

https://rumble.com/v2cy7gg--tucker-carlson-says-he-regrets-working-for-the-media-control-apparatus.html

https://twitter.com/thechiefnerd/status/1635308873367298048

@ChiefNerd"
1712,llm_1713,"['The Truth about the Illuminati, Religion, and Global Governance', 'the truth about the Illuminati, Religion, and Global Governance', nan, 'The Forbidden Knowledge']","['The Forbidden Knowledge', 'Forbidden Knowledge', 'Forbidden Knowledge', 'The Truth about the Illuminati']",0.85,0,1,26,"🔥 The Forbidden Knowledge: The Truth about the Illuminati, Religion, and Global Governance

@EXPOSEthePEDOSendOfTheCABAL
---->>>
https://rumble.com/v28f19k-the-forbidden-knowledge-the-truth-about-the-illuminati-religion-and-global-.html"
1740,llm_1741,"['controlling the world and everybody in it', nan, nan, 'controlling the world and everybody in it']","['obsession with controlling', 'controlling the world', 'obsession with controlling the world and everybody in it', 'obsession with controlling']",0.85,0,1,27,"They Live | ODD TV

These days 'They Live' is looking more like Science than it is Fiction. When compared to the world elite or the Illuminati and their obsession with controlling the world and everybody in it, this movie seems like it's based on a true story.

✳️ Video On Rumble ► HERE:
https://rumble.com/v3dkd1g-they-live-odd-tv.html

Follow @JustDudeChannel 😎
Rumble | Gab | Minds | Telegram |"
1820,llm_1821,"[nan, nan, nan, nan]","['sinister ulterior motive', 'sinister ulterior motive', 'sinister ulterior motive', 'sinister ulterior motive']",0.7575,0,1,28,Not that many years ago I would’ve thought this was a good thing. Now I think there is a sinister ulterior motive. 100%. Thanks Dr. T for sharing.
1838,llm_1839,"['keep it hush hush', nan, 'keep it hush hush', 'keep it hush hush']","['hush hush', 'hush hush', 'hush hush', 'hush hush']",0.815,0,1,29,"There's a lot more of them, but he's just the fall guy to keep it hush hush."
1882,llm_1883,"['Rewriting of history', 'Rewriting of history', nan, 'Rewriting of history']","['nobody was locked down', 'nobody was locked down', 'Rewriting of history', 'nobody was locked down']",0.8250000000000001,0,1,30,"Rewriting of history is happening around us. Years from now, we will be told that nobody was locked down and we will think we are crazy for saying so."
1970,llm_1971,"['exposing the flip-flopping parlor Bolshevik that she is', 'mask be ripped off', nan, 'exposing the flip-flopping parlor Bolshevik that she is']","['mask be ripped off', 'benign facade', 'mask be ripped off', 'mask be ripped off']",0.815,0,1,31,"Tonight is the hinge point in the election and possibly our history: Will Kamala's mask be ripped off, exposing the flip-flopping parlor Bolshevik that she is, or will she get away with continuing her benign facade?

🔗"
2107,llm_2108,"['what they are doing / planning to do', nan, nan, 'run Hollywood, run America, Wall Street']","['THE PLAYBOOK', 'THE PLAYBOOK', 'THE PLAYBOOK', 'THE PLAYBOOK']",0.85,0,1,32,"Matt Groening, The creator of Simsons appears to be a freemason. 
The Simpson's don't PREDICT / prophesize anything. The same ppl who run Hollywood, run America, Wall Street & most of the 🌍.
They have THE PLAYBOOK and they always tell you what they are doing / planning to do. 👀💥
THE QUESTION IS: WHAT ARE THEY PLANNING TO DO NEXT? THOUGHTS? 👇

❤️ Join The Family @LIVANDUCHAT 👈🏻"
2176,llm_2177,"['The government knows what is happening', 'what is happening', nan, 'The government knows what is happening']","['The government knows what is happening', 'The government knows', 'The government knows what is happening', 'The government knows what is happening']",0.7075,0,1,33,"Trump speaking about recent UFO sightings reported across the East Coast. ""The government knows what is happening.""

👉 Go visit asap now: WatchDisclosure.com

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥FOLLOW AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗 Secrets to Escape the Matrix: https://greatawakening.io"
2239,llm_2240,"['Fauci Files', nan, nan, 'Fauci Files']","['Fauci Files', 'Fauci Files', 'Fauci Files', 'Fauci Files']",0.6275000000000001,0,1,34,"We got Fauci Files, frens. 👀👀👀

https://twitter.com/thackerpd/status/1649037538663727106"
2370,llm_2371,"['control and elect “their guys” under the GOP label', nan, nan, 'control and elect “their guys” under the GOP label']","['control', 'control', 'control', 'control']",0.85,0,1,35,"There is no GOP.

There are woke corporate donors who control and elect “their guys” under the GOP label."
2410,llm_2411,"['carted out WEF operative Justin Welby', 'carted out', nan, 'carted out WEF operative Justin Welby']","[""As I've been saying since 2021"", 'WEF operative', 'carted out WEF operative', 'carted out']",0.725,0,1,36,"As I've been saying since 2021. This is why they carted out WEF operative Justin Welby in RAF Brize Norton.

➡️ Boost RobinMG 🚀"
2415,llm_2416,"['repeatedly overstated the evidence and misled the public', 'repeatedly overstated the evidence and misled the public', nan, 'repeatedly overstated the evidence and misled the public']","['obfuscations', 'obfuscations', 'repeatedly overstated the evidence and misled the public', 'obfuscations']",0.8250000000000001,0,1,37,"“I was wrong. We in the scientific community were wrong. And it cost lives.”

This article is from NEWSWEEK, people. NEWSWEEK. An opinion piece that covers much of what patriots have been so desperately trying to say for years. 

‘I can see now that the scientific community from the CDC to the WHO to the FDA and their representatives, repeatedly overstated the evidence and misled the public about its own views and policies, including on natural vs. artificial immunity, school closures and disease transmission, aerosol spread, mask mandates, and vaccine effectiveness and safety, especially among the young. All of these were scientific mistakes at the time, not in hindsight. Amazingly, some of these obfuscations continue to the present day.’

Please take the time to read this article in it’s entirety. When you’re done, push it to every social media platform possible - this is the type of dialogue we need now more than ever.

https://bit.ly/3wSv4I4
@RedPillPharmacist"
2375,llm_2376,"['dying suddenly || established homicide or alleged suicide', 'dying suddenly', 'dying suddenly', 'dying suddenly || accidental, established homicide or alleged suicide']","[nan, 'new trend', 'new trend', nan]",0.7650000000000001,1,0,38,"For years I wrote about holistic doctors who were healthy who didn’t get shots and I spoke out against them dying suddenly. Either accidental, established homicide or alleged suicide for the most part. Now this doctor who appears to have had all the shots dies suddenly. That’s the new trend."
2619,llm_2620,"['BREATHE is bad for the environment', 'BREATHE is bad for the environment', 'BREATHE is bad for the environment', 'BREATHE is bad for the environment']","[nan, 'NWO-related', 'NWO-related', nan]",0.64,1,0,39,"ALERT – NWO related scientists say BREATHE is bad for the environment 

Subscribe to @Intelsky"
1468,llm_1469,"['caused a plannedemic', 'plannedemic || The ghey Olympics', 'plannedemic', 'caused a plannedemic']","['plannedemic', nan, 'planned', 'plannedemic']",0.7125,1,0,40,The ghey Olympics may have caused a plannedemic
2101,llm_2102,"['Ukraine is playing a strange game', 'do not pay any taxes in Ukraine', 'do not pay any taxes in Ukraine', 'Ukraine is playing a strange game']","['connections with oligarchs and Ukrainian politicians', 'connections with oligarchs and Ukrainian politicians', 'connections with oligarchs and Ukrainian politicians', 'connections with oligarchs and Ukrainian politicians']",0.7650000000000001,1,1,41,"Why are Europeans not happy with Ukrainian grain?

A number of Eastern European countries have announced a ban on grain supplies from Ukraine. Why did this happen? The situation is best explained by the Chairman of the Council of Agriculture under the President of Poland, former Minister of Agriculture  Jan Krzysztof Ardanowski.

""Ukraine is playing a strange game, which is increasingly difficult to understand. These are large holdings that are owned by international concerns. These are tens of millions of hectares of black soil - the best soils in the world. They use technologies banned in the EU, cheap labor, cheap energy. Practically these companies, due to connections with oligarchs and Ukrainian politicians, do not pay any taxes in Ukraine.  These products will always be more competitive compared to what agriculture produces in the European Union.

We must firmly protect our market. We support the pro-European tendencies of Ukraine, we must be cordial, but also tough in conversations with Ukrainians. There must be a hand on their part... We are obliged to protect our own agriculture, because only it, in extreme cases, provides us with security.”

Join us: Soroca-Beloboca !"
152,llm_153,"['our centralized federal government spends over $6 trillion a year || extracting wealth out of the rest of the population', 'extracting wealth out of the rest of the population', 'extracting wealth out of the rest of the population', 'our centralized federal government spends over $6 trillion a year || extracting wealth out of the rest of the population']","[nan, 'connected to government', ""They're not making the country richer"", 'connected to government']",0.75,1,0,42,"Dave Smith & Joe Rogan on How Crony Capitalism is Crushing Everyday Americans

""There's more millionaires there than there are in any other part of the world, in the suburbs around Washington, DC. Is that because there's great big factories and they're making so much stuff that everyone wants to buy? No, that's because our centralized federal government spends over $6 trillion a year. And where does that money go? It goes into all the people who are connected to government...They're not making the country richer. They're extracting wealth out of the rest of the population...And then Wall Street is just printing money and then making your dollar less valuable...And this is basically why we live in this populist moment right now, where so many people are so freaking furious at the establishment, because they're right to be.""

https://x.com/TheChiefNerd/status/1728048950895108563

@ChiefNerd"
1250,llm_1251,"['having them in houses for hundreds of years', 'Why are they really doing it?', 'Why are they really doing it?', 'force people off gas stoves']","['Why are they really doing it', 'really doing it', 'really doing it', 'Why are they really doing it']",0.7125,1,1,43,"I think you want to go to healthnutnews which is my website and put your email in so we can teach you to get off the grid. I’m not saying that gas stoves are perfect but this concerns me greatly. Why are they really doing it? after, like having them in houses for hundreds of years"
2123,llm_2124,"[""might have been a spy involved in Durov's downfall"", ""Durov's downfall"", ""Durov's downfall"", ""might have been a spy involved in Durov's downfall""]","['spy', 'might have been a spy', 'might have been a spy', 'spy']",0.7150000000000001,1,1,44,"During his travels to Kazakhstan, Kyrgyzstan, and Azerbaijan, Pavel Durov was joined by 24-year-old crypto coach and streamer Yulia Vavilova, who resides in Dubai. She was also by his side at the time of his arrest in France.

Leading up to August 24, Vavilova was actively sharing photos on social media from Durov's private jet and the various locations they visited together.

Now, speculation is growing that she might have been a spy involved in Durov's downfall—the very woman he intended to show around Paris. 

She was constantly posting photos and geolocations online, documenting Durov’s every move.

Join: GhostEzra"
778,llm_779,"['Britain must prepare for harder lockdowns', 'harder lockdowns', 'harder lockdowns', 'lockdowns']","[nan, nan, nan, nan]",0.79,1,0,45,"Former UK Health Minister responsible for lockdowns said today: “Britain must prepare for harder lockdowns”

You would expect this vile creature to repent, and admit that lockdowns were a disasterous mistake that killed more people than Covid itself.

But no, he is doubling down!"
2462,llm_2463,"['shamed and blamed people who wouldn’t get the shot and spread false information', 'shamed and blamed people who wouldn’t get the shot', 'shamed and blamed people who wouldn’t get the shot', 'shamed and blamed people who wouldn’t get the shot and spread false information']","[nan, 'bringing the truth', 'bringing the truth', nan]",0.7650000000000001,1,0,46,"Multiple comedians like Jim Gaffigan shamed and blamed people who wouldn’t get the shot and spread false information. The good news is the Bobby Kennedy and I are bringing the truth and you can listen to us as we are just going live now.  👉👉👉Tinyurl.com/ErinREM

This one has music."
1479,llm_1480,"['Covid-19 Crimes', 'Exposing the Covid-19 Crimes', 'Covid-19 Crimes', 'Covid-19 Crimes']","[nan, 'Covid-19 Crimes', 'Exposing', nan]",0.75,1,0,47,"ICYMI:
MUST SHARE - David Martin - Exposing the Covid-19 Crimes - Speech in Dornach Switzerland - Part 2/2

(Part 1/2)"
1797,llm_1798,"['media attacks on him', 'all this bullsh*t started happening to us', 'media attacks on Him', 'media attacks']","[nan, nan, 'bullsh*t started happening to us', nan]",0.66,1,0,48,"🇺🇸 USA Chants Break Out as Jason Aldean Addresses the Media Attacks on Him This Week

“I love our country. I want to see it restored to what it once was before all this bullsh*t started happening to us.”

*From last night’s show in Cincinnati, OH (7/21)

https://twitter.com/thechiefnerd/status/1682696896647659525

https://rumble.com/v31k8mq--usa-chants-break-out-as-jason-aldean-addresses-the-media-attacks-on-him-th.html

@ChiefNerd"
294,llm_295,"['sending Ukraine heavier weapons, like Abrams tanks', 'sending Ukraine heavier weapons, like Abrams tanks', 'sending Ukraine heavier weapons, like Abrams tanks', 'sending Ukraine heavier weapons, like Abrams tanks']","[nan, 'big business', 'big business', nan]",0.7150000000000001,1,0,49,"BREAKING: Zelensky thanks BlackRock, JP Morgan, Goldman Sachs, and others for their support of Ukraine. Adds that sending Ukraine heavier weapons, like Abrams tanks, represents a ""big business"" opportunity for US corporations

Channel: @JFK_TV"
2211,llm_2212,"['strikes, deep into Russia w/h advanced missiles', 'strikes', 'strikes', 'strikes, deep into Russia w/h advanced missiles']","[nan, 'deep into Russia', 'deep into Russia', nan]",0.8,1,0,50,"#BREAKING 🇺🇸⚡🇷🇺 Biden in favor of strikes,deep into Russia w/h advanced missiles, if North Korean troops engage in battles in Ukraine 

Keep always informed
Subscribe to @Intelsky 💫"
91,llm_92,"['we will have our day in Congress || hear the objections || hear the evidence', 'voting irregularities', 'voting irregularities', 'we will have our day in Congress || hear the objections || hear the evidence']","[nan, 'evidence', 'hear the evidence', nan]",0.7650000000000001,1,0,51,"Mike Pence on January 4, 2021: ""I know we all got doubts about the last election. I share the concerns of millions of Americans about voting irregularities. I promise you, come this Wednesday, we will have our day in Congress. We'll hear the objections. We'll hear the evidence.""

https://twitter.com/KanekoaTheGreat/status/1686540469076152320

@KanekoaTheGreat"
659,llm_660,"['head back into the warzone for a long information push against the Mainstream media', 'information push against the Mainstream media', 'information push against the Mainstream media', 'long information push against the Mainstream media || show you what they keep trying to hide']","['what they keep trying to hide', 'what they keep trying to hide', 'what they keep trying to hide', nan]",0.7150000000000001,1,0,52,⚡️📣 I am back in Donbass!! ⚡️📣      After spending some much needed time with my wife and 2 sons it is time for me to head back into the warzone for a long information push against the Mainstream media and show you what they keep trying to hide. Now is a very important time and the world needs a steady flow of English video reports from this side of the line. Now I think major movement can come at any point on the frontline as far as who controls what and I am determined to report on as much as possible. I am now in Donetsk then I will head across as much of the frontline area (including Russia's newly controlled territories) as I can to report in English(as always with full English and Russian Translations). Together we can show the world!
2096,llm_2097,"['arrested him and now he is DEAD', 'arrested him || not given medical attention', 'arrested him || not given medical attention', 'arrested him and now he is DEAD']","[nan, 'tortured', 'tortured', nan]",0.775,1,0,53,"So let's be clear an American blogger,Gonzo Lira, has died in A Ukrainian prison after saying he was tortured, mistreated, and not given medical attention. He was in this prison because he tried to exercise freedom of speech not in favor of Ukraine. His journalism did not favor Ukraine so they arrested him and now he is DEAD!!! WHAT THE FU-CK WORLD?!! WAKE UP!!!"
2014,llm_2015,"['staged election results', 'military coup', 'military coup', 'staged election results']","[nan, 'staged election results', 'staged election results', nan]",0.7650000000000001,1,0,54,"GABON MILITARY COUP UPDATE – People on the streets of the capital of Libreville celebrate the announcement of the military coup. 

Note: France and the arrogant elites losing more and more influence in Africa after staged election results. 

PEOPLE STANDING UP & UNITE IN AFRICA

Subscribe to @WW3INFO"
169,llm_170,"['DENAZIFICATION IS THE ONLY WAY', 'denazification', 'denazification', 'DENAZIFICATION IS THE ONLY WAY']","[nan, 'only way', 'only way', nan]",0.7575000000000001,1,0,55,"Octogon Group: Spiritual Origins & Jesuits / Map Walkthrough Pt.2

⚔ 🇷🇺 FORWARD RUSSIA 🇷🇺 ⚔
DENAZIFICATION IS THE ONLY WAY

@deNAZIficationMilitaryQperationZ

https://rumble.com/v30hvne-octagon-group-spiritual-origins-and-jesuits-map-walkthrough-pt.2.html?mref=6zof&mrefc=35"
1684,llm_1685,"['Children stabbed by an immigrant', 'Children stabbed', 'Children stabbed', 'Children stabbed by an immigrant']","[nan, nan, nan, nan]",0.8,1,0,56,"Children stabbed by an immigrant but the protesters are the “racist” bad guys? 

Subscribe to @Intelsky"
